ISO3,Name,Year,Conflict_Stock_Displacement,Conflict_Stock_Displacement_Raw,Conflict_Internal_Displacements,Conflict_Internal_Displacements_Raw,Disaster_Internal_Displacements,Disaster_Internal_Displacements_Raw,Disaster_Stock_Displacement,Disaster_Stock_Displacement_Raw
AFG,Afghanistan,2022,3444000,3443895,32000,32424,220000,220387,2482000,2482264
BDI,Burundi,2022,8500,8495,600,601,13000,12850,67000,66805
BEN,Benin,2022,1200,1231,1200,1231,6900,6892,6900,6892
BGD,Bangladesh,2022,427000,427352,560,560,1524000,1523951,8600,8595
BRA,Brazil,2022,5600,5582,5600,5582,708000,708382,44000,43814
CMR,Cameroon,2022,987000,986572,139000,138662,66000,66075,23000,23122
COD,Dem. Rep. Congo,2022,5686000,5686431,4004000,4004370,423000,423004,283000,283271
COL,Colombia,2022,4766000,4766280,339000,338665,281000,280740,41000,41426
ETH,Ethiopia,2022,3852000,3851840,2032000,2032268,873000,872536,717000,716767
GTM,Guatemala,2022,242000,242386,5,5,74000,74406,7900,7918
HND,Honduras,2022,247000,247090,260,255,46000,46346,3900,3872
HTI,Haiti,2022,171000,170581,106000,106089,15000,14573,24000,23677
IDN,Indonesia,2022,72000,72040,7100,7092,308000,307985,68000,67805
IND,India,2022,631000,631104,1000,1005,2507000,2507107,32000,31885
IRQ,Iraq,2022,1169000,1168619,32000,32330,51000,50514,69000,68670
KAZ,Kazakhstan,2022,120,115,120,115,4000,3957,14,14
KEN,Kenya,2022,30000,30243,15000,15382,318000,317506,373000,373350
KGZ,Kyrgyzstan,2022,4000,4003,166000,166329,1700,1696,4,4
MEX,Mexico,2022,386000,385882,9200,9223,11000,10566,3600,3634
MLI,Mali,2022,380000,379932,154000,153990,24000,23957,32000,32455
MMR,Myanmar,2022,1498000,1497518,1006000,1006395,13000,13144,3000,2956
MOZ,Mozambique,2022,1030000,1029857,283000,282822,113000,112626,127000,127336
NER,Niger,2022,372000,371707,101000,100997,248000,247574,5100,5102
NGA,Nigeria,2022,3646000,3645757,148000,148348,2437000,2437411,854000,853980
PAK,Pakistan,2022,21000,21162,680,680,8168000,8168491,1025000,1024977
PHL,Philippines,2022,102000,101706,123000,122507,5453000,5453194,533000,533449
PNG,Papua New Guinea,2022,94000,94482,64000,64254,9600,9626,190,186
RUS,Russia,2022,7500,7528,7100,7054,2700,2712,28,28
SDN,Sudan,2022,3553000,3552718,314000,313683,105000,104816,227000,226769
SSD,South Sudan,2022,1475000,1474679,337000,336694,596000,596154,665000,665251
TGO,Togo,2022,2300,2289,2300,2289,16000,16467,4700,4668
UGA,Uganda,2022,4800,4807,2000,1974,34000,33890,38000,38483
AFG,Afghanistan,2021,4314000,4314287,723000,723082,25000,25046,1390000,1389521
BDI,Burundi,2021,19000,19083,94,94,87000,86885,94000,94325
BGD,Bangladesh,2021,427000,426914,150,151,99000,98770,42000,41950
BRA,Brazil,2021,21000,20689,21000,21468,449000,448900,26000,26018
CAF,Central African Republic,2021,692000,691791,487000,487025,24000,23589,36000,36255
CMR,Cameroon,2021,909000,908961,131000,131452,1800,1764,28000,27806
COD,Dem. Rep. Congo,2021,5339000,5339000,2712000,2711783,888000,888136,201000,201000
COL,Colombia,2021,5235000,5235074,134000,133848,32000,31708,1400,1420
ETH,Ethiopia,2021,3589000,3589421,5142000,5142356,240000,240020,579000,579092
GTM,Guatemala,2021,242000,242386,130,130,16000,15581,22000,22330
HND,Honduras,2021,247000,247090,550,549,260,262,30,30
HTI,Haiti,2021,17000,16598,20000,20410,220000,220304,220000,219745
IDN,Indonesia,2021,73000,72778,27000,26580,749000,749418,155000,155061
IND,India,2021,506000,505667,13000,13042,4903000,4903210,22000,22206
IRQ,Iraq,2021,1187000,1186556,57000,56891,9400,9434,20000,19974
KEN,Kenya,2021,190000,190000,4600,4634,36000,36442,54000,54320
MDG,Madagascar,2021,2800,2807,1300,1295,21000,20838,62000,62405
MEX,Mexico,2021,379000,379246,29000,28867,19000,18688,23,23
MLI,Mali,2021,326000,326135,249000,249174,6000,5994,24000,23975
MMR,Myanmar,2021,649000,649015,448000,447818,158000,158219,1400,1435
MOZ,Mozambique,2021,735000,735334,187000,187057,44000,43512,138000,138024
NER,Niger,2021,224000,224016,110000,110203,125000,124847,40000,40241
NGA,Nigeria,2021,3228000,3228380,376000,375552,24000,23993,107000,107058
PHL,Philippines,2021,108000,108463,140000,140145,5714000,5713819,700000,700039
PNG,Papua New Guinea,2021,24000,23730,9500,9514,1400,1417,17000,16634
SDN,Sudan,2021,3175000,3175046,442000,442427,99000,98656,85000,85476
SSD,South Sudan,2021,1369000,1368635,429000,429432,506000,505544,527000,526975
TCD,Chad,2021,397000,396625,42000,42355,24000,24144,24000,24218
THA,Thailand,2021,41000,41104,520,520,9400,9405,3000,3010
UGA,Uganda,2021,1700,1700,1300,1278,47000,46690,24000,24303
UKR,Ukraine,2021,854000,854000,40,40,2000,1997,12,12
YEM,Yemen,2021,4289000,4288739,377000,376663,84000,84408,11000,10836
AFG,Afghanistan,2020,3547000,3546858,404000,404139,49000,48872,1214000,1213620
BDI,Burundi,2020,22000,21765,310,310,52000,51525,76000,75866
BFA,Burkina Faso,2020,1075000,1074993,515000,514960,20000,19747,20000,19747
BGD,Bangladesh,2020,427000,426763,230,231,4443000,4443088,344000,343773
CAF,Central African Republic,2020,682000,681930,318000,317619,15000,15025,4200,4242
CIV,Côte d'Ivoire,2020,308000,307535,15000,14670,1900,1865,70,70
CMR,Cameroon,2020,1003000,1002910,123000,122643,116000,115982,30000,29956
COL,Colombia,2020,4922000,4922122,106000,105805,64000,63565,21000,20626
EGY,Egypt,2020,3200,3181,1000,1000,8400,8434,8400,8434
ETH,Ethiopia,2020,2060000,2059883,1692000,1691655,664000,663965,633000,633084
HTI,Haiti,2020,7900,7946,7900,7946,13000,13207,810,808
IDN,Indonesia,2020,42000,42041,4600,4599,705000,704513,160000,160396
IND,India,2020,473000,473079,3900,3922,3856000,3856213,933000,933471
KEN,Kenya,2020,190000,190000,3900,3910,335000,335016,204000,203938
MEX,Mexico,2020,357000,356792,9700,9741,103000,102847,99000,99256
MLI,Mali,2020,326000,326298,277000,276690,7400,7397,6700,6659
MMR,Myanmar,2020,505000,505378,70000,70194,50000,49547,4600,4620
MOZ,Mozambique,2020,676000,676294,592000,592037,48000,48161,100000,99938
NER,Niger,2020,257000,257095,136000,135717,276000,275906,267000,266783
NGA,Nigeria,2020,2730000,2730425,169000,168556,279000,279157,143000,143110
NIC,Nicaragua,2020,77,77,77,77,392000,392491,9100,9106
PAK,Pakistan,2020,104000,103602,390,388,829000,828524,806000,806274
PHL,Philippines,2020,153000,153057,111000,110622,4450000,4449771,135000,135207
PSE,Palestine,2020,131000,131082,1000,1001,100,102,10,10
SDN,Sudan,2020,2276000,2276314,79000,79399,454000,453574,454000,453574
SOM,Somalia,2020,2968000,2967500,293000,292518,1037000,1036701,78000,77505
SSD,South Sudan,2020,1436000,1435781,271000,271149,443000,442882,106000,106329
TCD,Chad,2020,342000,342069,79000,79124,71000,71431,680,675
UGA,Uganda,2020,1000,1032,79,79,70000,70410,33000,32593
UKR,Ukraine,2020,734000,734344,74,74,2000,2030,240,237
YEM,Yemen,2020,3635000,3634845,143000,142884,223000,222948,223000,222810
AFG,Afghanistan,2019,2993000,2993384,461000,460692,117000,116768,1198000,1198137
BDI,Burundi,2019,23000,23468,530,533,27000,27066,12000,11608
BGD,Bangladesh,2019,427000,426532,490,491,4084000,4083940,88000,88199
BOL,Bolivia,2019,31,31,31,31,77000,76750,1900,1928
CAF,Central African Republic,2019,592000,592365,96000,95981,102000,101838,95000,95000
CIV,Côte d'Ivoire,2019,302000,302005,300,300,720,718,440,440
CMR,Cameroon,2019,969000,968849,67000,66569,24000,23719,28000,28264
COD,Dem. Rep. Congo,2019,5512000,5512073,1672000,1671769,237000,236723,165000,164504
COG,Congo,2019,134000,134430,2,2,166000,166244,107000,106522
COL,Colombia,2019,5576000,5575987,139000,139065,36000,36027,1600,1575
ETH,Ethiopia,2019,1324000,1323553,1052000,1051728,504000,504367,390000,389960
HTI,Haiti,2019,2100,2128,2100,2128,1200,1202,51000,50986
IDN,Indonesia,2019,40000,40094,23000,23396,463000,462646,104000,104328
IND,India,2019,470000,469624,19000,19005,5018000,5017722,126000,125586
IRQ,Iraq,2019,1533000,1532518,104000,103764,37000,37252,320,325
KEN,Kenya,2019,162000,161843,1800,1838,74000,73825,1400,1373
LKA,Sri Lanka,2019,27000,27327,1700,1700,87000,87006,4700,4662
MLI,Mali,2019,208000,207751,284000,284025,6600,6633,5400,5373
MMR,Myanmar,2019,457000,457313,80000,79652,270000,270014,41000,40514
MOZ,Mozambique,2019,95000,94966,5300,5288,506000,505899,126000,125762
NER,Niger,2019,195000,194677,56000,56048,121000,120935,121000,120935
NGA,Nigeria,2019,2583000,2582615,248000,247713,157000,157003,148000,147979
PAK,Pakistan,2019,106000,105844,16000,16051,100000,100082,15000,15353
PER,Peru,2019,60000,59881,35,35,10000,10292,5800,5829
PHL,Philippines,2019,182000,181815,183000,183273,4495000,4495400,181000,180681
PNG,Papua New Guinea,2019,14000,14233,1300,1279,31000,30994,11000,11408
SDN,Sudan,2019,2134000,2134323,84000,83819,272000,272443,272000,272443
SLE,Sierra Leone,2019,5500,5500,2500,2500,5300,5318,2500,2528
SOM,Somalia,2019,2648000,2648000,188000,188229,475000,475308,650,649
SSD,South Sudan,2019,1352000,1351876,259000,258598,294000,294325,233000,232879
SYR,Syria,2019,6495000,6495392,1847000,1847140,17000,17100,121000,120850
TCD,Chad,2019,176000,175603,58000,58293,30000,30387,27000,26684
TUR,Türkiye,2019,1099000,1099493,2000,2000,540,540,110,107
UGA,Uganda,2019,32000,32140,2300,2317,90000,90283,1100,1059
YEM,Yemen,2019,3635000,3634845,398000,398412,31000,31358,380,379
